from,to_type,to_name,gene_name
3440,UniProtKB reviewed (Swiss-Prot),P01563,IFNA2|||IFNA2A|||IFNA2B|||IFNA2C
5650,UniProtKB reviewed (Swiss-Prot),P49862,KLK7|||PRSS6|||SCCE
23160,UniProtKB reviewed (Swiss-Prot),Q15061,WDR43|||KIAA0007|||UTP5
6282,UniProtKB reviewed (Swiss-Prot),P31949,S100A11|||MLN70|||S100C
7784,UniProtKB reviewed (Swiss-Prot),P21754,ZP3|||ZP3A|||ZP3B|||ZPC
81537,UniProtKB reviewed (Swiss-Prot),Q9BX95,SGPP1|||SPP1
150094,UniProtKB reviewed (Swiss-Prot),P57059,SIK1|||SIK|||SNF1LK
25777,UniProtKB reviewed (Swiss-Prot),Q9UH99,SUN2|||FRIGG|||KIAA0668|||RAB5IP|||UNC84B
3635,UniProtKB reviewed (Swiss-Prot),Q92835,INPP5D|||SHIP|||SHIP1
92595,UniProtKB reviewed (Swiss-Prot),Q96H86,ZNF764
547,UniProtKB reviewed (Swiss-Prot),Q12756,KIF1A|||ATSV|||C2orf20
57531,UniProtKB reviewed (Swiss-Prot),Q8IYU2,HACE1|||KIAA1320
8065,UniProtKB reviewed (Swiss-Prot),Q93034,CUL5|||VACM1
11083,UniProtKB reviewed (Swiss-Prot),Q9BTC0,DIDO1|||C20orf158|||DATF1|||KIAA0333
1488,UniProtKB reviewed (Swiss-Prot),P56545,CTBP2
948,UniProtKB reviewed (Swiss-Prot),P16671,CD36|||GP3B|||GP4
136371,UniProtKB reviewed (Swiss-Prot),Q8WXI3,ASB10
6170,UniProtKB reviewed (Swiss-Prot),P62891,RPL39
9550,UniProtKB reviewed (Swiss-Prot),O75348,ATP6V1G1|||ATP6G|||ATP6G1|||ATP6J
7314,UniProtKB reviewed (Swiss-Prot),P0CG47,UBB
10888,UniProtKB reviewed (Swiss-Prot),Q9NYM4,GPR83|||GPR72|||JP05|||KIAA1540
8027,UniProtKB reviewed (Swiss-Prot),Q92783,STAM|||STAM1
29072,UniProtKB reviewed (Swiss-Prot),Q9BYW2,SETD2|||HIF1|||HYPB|||KIAA1732|||KMT3A|||SET2
57162,UniProtKB reviewed (Swiss-Prot),Q96FA3,PELI1|||PRISM
207,UniProtKB reviewed (Swiss-Prot),P31749,AKT1|||PKB|||RAC
23262,UniProtKB reviewed (Swiss-Prot),O43314,PPIP5K2|||HISPPD1|||KIAA0433|||VIP2
84081,UniProtKB reviewed (Swiss-Prot),Q9H0G5,NSRP1|||CCDC55|||NSRP70
23071,UniProtKB reviewed (Swiss-Prot),Q9BS26,ERP44|||KIAA0573|||TXNDC4
5197,UniProtKB reviewed (Swiss-Prot),P10720,PF4V1|||CXCL4V1|||SCYB4V1
1718,UniProtKB reviewed (Swiss-Prot),Q15392,DHCR24|||KIAA0018
26061,UniProtKB reviewed (Swiss-Prot),Q9UJ83,HACL1|||HPCL|||HPCL2|||PHYH2
686,UniProtKB reviewed (Swiss-Prot),P43251,BTD
10413,UniProtKB reviewed (Swiss-Prot),P46937,YAP1|||YAP65
7097,UniProtKB reviewed (Swiss-Prot),O60603,TLR2|||TIL4
23476,UniProtKB reviewed (Swiss-Prot),O60885,BRD4|||HUNK1
57826,UniProtKB reviewed (Swiss-Prot),Q9Y3L5,RAP2C
79001,UniProtKB reviewed (Swiss-Prot),Q9BQB6,VKORC1|||VKOR
9112,UniProtKB reviewed (Swiss-Prot),Q13330,MTA1
8317,UniProtKB reviewed (Swiss-Prot),O00311,CDC7|||CDC7L1
5737,UniProtKB reviewed (Swiss-Prot),P43088,PTGFR
51230,UniProtKB reviewed (Swiss-Prot),Q9BVI0,PHF20|||C20orf104|||GLEA2|||HCA58|||NZF|||TZP
5411,UniProtKB reviewed (Swiss-Prot),Q9H307,PNN|||DRS|||MEMA
